prompt_id,category,disability_type,task_type,prompt_text,notes,gpt4_output,gpt4_error,claude_output,claude_error,groq_output,groq_error,timestamp
P044,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'If you are experiencing a mental health crisis please contact the national crisis helpline or present to the emergency department of your nearest hospital for immediate support.'",Healthcare/mental health,"If you are feeling very bad, call the help phone line. You can also go to the closest hospital. They can help you right away.",,"## Simplified Text

**Are you feeling very upset or scared right now?**

**You can get help.**

**Call the crisis helpline.** They help people who feel very bad.

**Or go to the hospital emergency room.** Tell them you need help now.

**Someone will help you feel better.**",,"I am upset. Call for help now. 
Go to the hospital. 
They can help you.",,2026-05-26T19:25:21.181184
P045,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The rehabilitation program consists of a multidisciplinary approach encompassing occupational therapy physiotherapy and speech-language pathology to maximize functional independence.'",Healthcare/rehabilitation,"The help program has different parts. It includes work therapy, body movement therapy, and speech therapy. This helps people do things on their own.",,"## Simplified Version

**You will get help from different people to feel better.**

**One person helps you do daily tasks.** Things like getting dressed and cooking.

**Another person helps your body move better.** They help you walk and get stronger.

**A third person helps you talk and swallow.** They make speaking easier.

**All these people work together.** They want to help you do things on your own.",,"We help you get better. 
We use exercises and talking therapy. 
This helps you do things by yourself.",,2026-05-26T19:25:29.662722
P046,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Pursuant to Section 7 of the Individual Education Plan accommodations including extended time on assessments preferential seating and access to assistive technology have been authorized.'",Education/IEP accommodations,Your special learning plan says you can have extra time for tests. You can sit where you learn best. You can also use special tools to help you learn.,,"## Your Learning Help Plan

**You have a special plan to help you at school.**

Here is what you will get:

**More time on tests**
You can take longer to finish your tests.

**A good seat**
You will sit in a spot that helps you learn better.

**Tools to help you**
You can use computers or other tools to help you do your work.

**These things are allowed.**
Your teachers know about this plan.
They will help you use these things.",,"We give you extra time to take tests.
You sit where you can see well.
You use special tools to help you.",,2026-05-26T19:25:39.797337
P047,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Students who fail to submit assignments by the stipulated deadline will incur a grade penalty of 10% per day unless prior arrangements have been made with the course instructor.'",Education/assignment policy,"If you don't turn in your homework on time, your grade will go down. For each day it's late, you lose 10%. But if you talk to your teacher before it's due, they might let you turn it in late without losing points.",,"## Simplified Version

**Turn in your work on time.**

**If your work is late, you will lose points.**

**You lose 10 points for each day it is late.**

**Talk to your teacher before the due date if you need more time.**

**Your teacher may give you extra time if you ask first.**",,"Turn in work on time. 
Late work gets a bad grade. 
Tell teacher if you're late.",,2026-05-26T19:25:51.115886
P048,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The school anti-bullying policy defines bullying as repeated intentional behavior that causes harm humiliation or distress. Incidents should be reported to a trusted adult or via the anonymous online portal.'",Education/anti-bullying policy,"The school's no-bullying rule says bullying is when someone hurts or upsets you again and again on purpose. If this happens, tell a grown-up you trust or use the secret website.",,"## Anti-Bullying Rules at School

**What is bullying?**

Bullying is when someone is mean to you again and again.

They do it on purpose.

It can hurt your body.

It can hurt your feelings.

It can make you feel sad or scared.

**What should you do if someone bullies you?**

Tell a grown-up you trust.

This could be a teacher, parent, or school helper.

You can also report it on the school website.

No one will know it was you who told.

**Remember:** It is always okay to ask for help.",,"We don't like bullying. 
Bullying hurts people. 
Tell a teacher if you see bullying. 
You can tell online too.",,2026-05-26T19:25:58.330207
P049,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'To be eligible for the scholarship applicants must demonstrate academic merit financial need and active participation in extracurricular activities as verified by institutional records.'",Education/scholarship eligibility,"To get the scholarship, you need to show three things. 

First, you need good grades. 

Second, you need to show you don't have enough money for school. 

Lastly, you need to be involved in activities outside of class. 

Your school will check these things.",,"## Simplified Text

**You can get money for school if you:**

• You get good grades in your classes

• You need help paying for school

• You do activities outside of class (like sports or clubs)

**Your school will check these things are true.**

---

## Key Changes Made

| Original Term | Simplified Version |
|---|---|
| Eligible | Can get |
| Scholarship | Money for school |
| Demonstrate academic merit | Get good grades |
| Financial need | Need help paying |
| Extracurricular activities | Activities outside of class |
| Verified by institutional records | Your school will check |",,"We help students with good grades.
We help students who need money.
We help students in clubs.
School records prove this.",,2026-05-26T19:26:07.839691
P050,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Cognitive behavioral therapy is a structured psychological intervention that aims to modify maladaptive thought patterns and associated behaviors to improve emotional regulation.'",Education/mental health,Cognitive behavioral therapy is like a class for your mind. It helps you change bad thoughts and habits. This helps you control your feelings better.,,"# Simplified Text

**This is a type of talking therapy.**

**You meet with a helper to talk about your feelings.**

**Sometimes we think bad thoughts about ourselves.**

**These thoughts can make us feel sad or worried.**

**The helper teaches you new ways to think.**

**You learn to change bad thoughts into better ones.**

**This helps you feel happier and calmer.**

**You also learn new things to do when you feel upset.**",,"We help you think and feel better.
We change bad thoughts and behaviors.
You learn to control your emotions.",,2026-05-26T19:26:21.600180
P051,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The Disability Discrimination Act prohibits direct and indirect discrimination against individuals with a disability in the areas of employment education and access to goods and services.'",Legal/disability rights,"The law says no one can treat you unfairly because of your disability. This includes your job, school, and buying things.",,"# The Disability Discrimination Act

This is a law that protects people with disabilities.

**What does this law do?**

It says people cannot treat you badly because of your disability.

This is called discrimination.

**Where does this law help you?**

• **At work** - Bosses must treat you fairly when you apply for jobs.

• **At school** - Schools must let you learn like everyone else.

• **In shops and services** - Stores and businesses must serve you fairly.

**What does ""treat you badly"" mean?**

• Someone says no to you just because of your disability.

• Rules that make things harder for you but not for others.

**The main idea:**

You have the right to be treated the same as everyone else.",,"We protect people with disabilities.
They can work and learn.
They can buy things and use services.
It's not fair to treat them badly.",,2026-05-26T19:26:34.853913
P052,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'As a participant in this research study you have the right to withdraw consent at any time without prejudice to your ongoing care or any other entitlements.'",Legal/research consent,You are part of this study. You can choose to stop at any time. This won't change how we care for you. You won't lose anything else you have a right to.,,"## Simplified Version

You are helping with this study.

You can stop being in the study at any time.

You do not have to give a reason.

Nothing bad will happen if you stop.

You will still get the same care.

You will still get all your services.

It is your choice.",,"You can stop at any time. 
Your care will not change. 
You can still get help.",,2026-05-26T19:26:44.465599
P053,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'In accordance with the organization grievance policy employees wishing to file a formal complaint must submit documentation to the Human Resources department within 10 business days of the incident.'",Legal/workplace rights,"If you are upset at work, tell the Human Resources team. You have 10 days to do this. Write down what happened.",,"## Simplified Text

**Do you have a problem at work?**

You can make a complaint.

Here is what to do:

1. **Write down what happened.**

2. **Give your paper to the HR office.** This is the office that helps workers.

3. **Do this soon.** You have 10 work days. That means about 2 weeks.

---

**Need help?** Ask someone you trust to help you write it down.",,"Tell us if something is wrong. 
You have 10 days to report it. 
Give the paper to the HR person.",,2026-05-26T19:26:51.477986
P054,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Your lease agreement will automatically renew on a month-to-month basis unless written notice of termination is provided no less than 30 days prior to the lease expiration date.'",Legal/housing tenancy,"Your rent contract will keep going every month. If you want to stop it, write a note. Do this 30 days before the contract ends.",,"## Simplified Version:

You rent this home. Your rental deal will keep going each month.

**Do you want to move out?**

You must tell us in writing. Tell us 30 days before you want to leave. That means about one month ahead of time.

**If you don't tell us, you keep renting.**

---

**What ""in writing"" means:**
- A letter
- An email
- A signed form

Do you need help? Ask someone you trust to help you write it.",,"Your lease will continue. 
Tell us 30 days before you leave. 
Or it will keep going.",,2026-05-26T19:27:01.743290
P055,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'In the event that you are involved in a motor vehicle accident you are legally required to exchange insurance information and report the incident to law enforcement if injuries are sustained.'",Legal/obligation,"If you have a car accident, you must share your insurance details. If someone is hurt, tell the police.",,"# What to Do If You Get in a Car Crash

**You must do these things:**

1. **Share your insurance card** with the other driver.

2. **Get their insurance card** too.

3. **Call the police** if anyone is hurt.

This is the law. You have to do it.",,"You crash a car. 
Tell police and show insurance. 
Help if someone is hurt.",,2026-05-26T19:27:10.709736
P056,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Transit services will be temporarily suspended on Route 12 due to infrastructure maintenance works. Alternative bus services will operate via Routes 14 and 16 during this period.'",Community/transport,Buses won't run on Route 12 for a while. They are fixing the road. You can take buses on Route 14 and 16 instead.,,"## Simple Version

**Bus Route 12 is closed for now.**

Workers need to fix the roads and pipes.

This will not last forever.

**You can still get where you need to go.**

Take Bus 14 or Bus 16 instead.

These buses will help you travel.

---

**What to do:**
- Look for Bus 14 or Bus 16
- Ask the bus driver if you need help",,"Buses stop on Route 12. 
We fix the road.
Take bus 14 or 16 instead.",,2026-05-26T19:27:17.812376
P057,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Voting is your democratic right. To cast your ballot bring valid government issued photo identification to your designated polling station on election day between 7AM and 8PM.'",Community/civic participation,You can vote. It's your right. Bring a photo ID from the government. Go to your voting place on election day. You can vote from 7 in the morning until 8 at night.,,"# Voting Made Simple

**You can vote. It is your right.**

## What to bring

Bring an ID card with your photo on it.

The ID must be from the government.

A driver's licence works well.

## Where to go

Go to your voting place.

A card in the mail tells you where to go.

## When to go

Go on voting day.

The doors open at 7 in the morning.

The doors close at 8 at night.

You can go any time between 7 and 8.",,"You can vote. 
Bring a photo ID. 
Go to the voting place. 
Voting is from 7AM to 8PM.",,2026-05-26T19:27:27.538384
P058,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The community garden allotment scheme is open to all residents. Applicants are assessed on a first come first served basis with priority given to households with no private outdoor space.'",Community/participation,"The community garden is open to everyone. People who ask first get a spot first. If you don't have a garden at home, you get a spot quicker.",,"## Community Garden Spots

**We have garden spots for people in our area.**

You can grow plants and vegetables there.

**Anyone who lives here can ask for a spot.**

We give spots to people who ask first.

People with no garden at home get a spot before others.

**Want a spot? Tell us! We will add your name to the list.**",,"We have a garden for people to use.
It is open to all.
First come, first served.
People with no yard go first.",,2026-05-26T19:27:37.124403
P059,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Recycling contamination occurs when non recyclable materials are placed in the recycling bin. This compromises the entire load and increases processing costs for the municipality.'",Community/environment,Recycling gets dirty when we put things that can't be recycled in the bin. This makes it harder and more expensive to sort out.,,"## Recycling Made Simple

**Put only the right things in your recycling bin.**

Sometimes people put wrong items in the recycling bin.

This is a problem.

Wrong items can ruin all the good recycling.

Then workers have to throw everything away.

This costs your town more money.

**What can you do?**

Check before you put something in the bin.

Ask for help if you are not sure.

Only recycle clean bottles, cans, and paper.",,"Bad things go in the recycling bin.
This makes a big mess.
It costs more money.",,2026-05-26T19:27:46.606347
P060,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'To be eligible for supported accommodation applicants must demonstrate a verified disability require daily living assistance and have current support coordinator involvement.'",Community/housing services,"To live in a special home, you need to show you have a disability. You also need help every day. Plus, you need a support person who works with you now.",,"## Simplified Text

**Who can live in our supported homes?**

You need three things:

1. **You have a disability.** A doctor or specialist has said this is true.

2. **You need help every day.** This means help with things like cooking, cleaning, or getting dressed.

3. **You have a support worker.** This person helps you make plans and choices.

---

**Want to apply?**

Talk to your support worker. They can help you.",,"We help people with disabilities. 
You need help each day. 
Someone must support you now.",,2026-05-26T19:27:56.481999
